lat,lon,count_A,count_B,count_C,location
78.90669,11.88899,52,0,0,Zeppelinfjellet
67.9673440876493,24.1122195302226,52,0,0,FI00356
68.477009999634,28.3031,52,0,0,FI00357
65.83089,13.90655,52,0,0,Tustervatn
66.3216999996054,29.40157,52,0,0,FI00352
65.0433799995895,25.4979,52,0,0,FI00301
64.8458,-147.72727,52,0,0,NCore
63.723301,-148.967499,52,0,0,Denali NPP
63.5086,-116.0078,42,0,0,Snare Rapids
62.78246,8.87658,52,0,0,Kårvatn
63.1012099995673,21.60407,42,0,0,FI00586
63.1430999995677,31.04695,50,0,0,FI00428
60.395929,5.312674,46,0,0,Klosterhaugen
60.5300199995406,27.6754,52,0,0,FI00893
59.9524,10.487777,5,43,0,Lommedalen
59.7792299995335,21.37395,34,18,0,FI00349
60.3135960714999,24.6894769317978,9,43,0,FI00208
60.1465,-113.63769,50,0,0,Wood Buffalo Park
60.13922,-1.185319,52,0,0,Lerwick
59.19722,5.20148,52,0,0,Sandve
59.2024,9.48708,23,28,0,Haukenes
58.38846,8.2519,52,0,0,Birkenesobservatoriet
58.7083,-111.1764,52,0,0,Fort Chipewyan
57.4046329995131,21.591989,47,0,0,LV0007A
57.734456,-4.776583,23,29,0,Strathvaich
56.9506059995096,24.115872,30,22,0,LV0019A
56.82266,-5.101102,41,11,0,Fort William
57.15736,-2.094278,40,12,0,Aberdeen
56.2903769274682,8.42740110752183,52,0,0,DK0031R
56.5231749995064,21.004694,39,13,0,LV0012A
55.945589,-3.182186,9,43,0,Edinburgh St Leonards
55.1964,-119.3967,52,0,0,Beaverlodge
55.340367,-115.895667,50,0,0,Joussard
55.50333,-106.72167,52,0,0,Pinehouse Lake
55.865782,-4.243631,52,0,0,Glasgow Townhead
54.8836135894951,23.8358345,9,43,0,LT00044
54.4494,-90.2175,49,0,0,Pickle Lake
54.43951,-7.900328,10,42,0,Lough Navar
54.59965,-5.928833,32,16,0,Belfast Centre
54.88361,-1.406878,2,50,0,Sunderland Silksworth
54.09323,10.240596,3,49,0,DESH008
54.09262,12.099553,16,35,0,DEMV022
53.9147,-122.7419,29,23,0,PRG Plaza 400
53.6825,-112.8686,34,18,0,Elk Island
54.294639,-109.209214,52,0,0,Flat Valley
52.95049,1.122017,25,25,0,Weybourne
