lat,lon,count_A,count_B,count_C,location
66.312191,14.149923,26,10,0,Moheia Vest
65.0099699995891,25.47132,43,9,0,FI00446
64.8458,-147.72727,23,4,0,NCore
64.762973,-147.310297,38,8,0,North Pole Fire Stat
61.205861,-149.8246,24,28,0,Garden
61.3267,-149.569707,9,21,0,Parkgate (Eagle Rive
61.534163,-149.031655,28,24,0,Butte (Harrison Cour
61.5989,-149.106216,17,13,0,Palmer
60.79646,11.09777,37,15,0,Vangsveien, Hamar
60.88593,10.93785,40,12,0,Ringsakervegen
60.79583,-161.767,20,7,0,Bethel
59.914106,10.82263,32,19,0,Bryn skole
60.170873,10.261552,17,7,0,Hønefoss skole
59.9181,10.5839,32,20,0,Bekkestua
59.92556,10.850367,34,18,0,E6 Alna senter
59.92773,10.84633,20,22,0,Alnabru
59.92295,10.76573,31,21,0,Sofienbergparken
59.90608,10.61195,36,16,0,Eilif Dues vei
59.93233,10.72447,25,23,0,Kirkeveien
59.91898,10.69707,27,22,0,Bygdøy Alle
59.91132,10.70407,27,25,0,Hjortnes
59.928612,10.953203,37,15,0,Solheim
59.057304,9.695568,31,21,0,Furulund
59.15927,9.63565,22,30,0,Lensmannsdalen
59.433471,10.66176236,26,26,0,Kransen
59.123314,11.391136,18,8,0,Vaterland
59.27377544,11.08919017,38,13,0,Alvim
59.2103,10.9454,37,10,0,St.Croix
58.388889,-134.565556,40,12,0,Floyd Dryden
58.7083,-111.1764,36,16,0,Fort Chipewyan
56.7328,-111.39,42,10,0,Athabasca Valley
56.7522,-111.4761,42,10,0,Patricia McInnes
57.1889,-111.6406,35,17,0,Fort McKay
56.3194399995049,22.87084,51,1,0,LT00021
55.944079,-4.734421,39,13,0,Greenock A8 Roadside
56.010319,-3.704399,43,9,0,Grangemouth
55.945589,-3.182186,43,9,0,Edinburgh St Leonards
55.1964,-119.3967,36,16,0,Beaverlodge
55.860936,-4.238214,48,4,0,Glasgow High Street
55.865782,-4.243631,46,6,0,Glasgow Townhead
54.8951279994952,23.986222,52,0,0,LT00041
54.8836135894951,23.8358345,51,1,0,LT00044
54.43951,-7.900328,40,12,0,Lough Navar
55.002818,-7.331179,35,15,0,Derry Rosemount
54.59965,-5.928833,40,8,0,Belfast Centre
54.894834,-2.945307,41,11,0,Carlisle Roadside
54.569297,-1.220874,39,13,0,Middlesbrough
54.97825,-1.610528,34,18,0,Newcastle Centre
54.565819,-1.3159,36,16,0,Stockton-on-Tees A1305 Roadside
54.516667,-1.358547,40,12,0,Stockton-on-Tees Eaglescliffe
53.924712,9.532635,51,1,0,DESH015
53.638291,9.998009,51,1,0,DEHH033
53.835492,10.695936,52,0,0,DESH023
54.304676,10.135158,52,0,0,DESH027
54.09323,10.240596,52,0,0,DESH008
54.092278,12.141994,51,0,0,DEMV020
53.78175,12.175512,51,0,0,DEMV019
54.17729,12.09792,51,0,0,DEMV031
53.817775,12.064708,51,0,0,DEMV004
54.0558,-128.6739,37,15,0,Kitimat Riverlodge
53.973301,-128.650299,41,11,0,Kitimat Haisla Villa
54.0403,-128.3825,37,15,0,KITIMAT WHITESAIL
54.0163,-124.006104,17,5,0,Vanderhoof BAM
53.9147,-122.7419,34,18,0,PRG Plaza 400
53.76559,-2.680353,42,10,0,Preston
53.80378,-1.546472,40,10,0,Leeds Centre
53.819972,-1.576361,43,9,0,Leeds Headingley Kerbside
53.3304,6.27681,47,5,0,Kollumerwaard-Hooge Zuidwal
53.2178,6.5789,48,4,0,Groningen-Europaweg
53.2465,6.60894,49,3,0,Groningen-Nijensteinheerd
53.59617,8.09059,52,0,0,DENI031
53.060045,8.916966,52,0,0,DEHB002
53.1177,8.69506,52,0,0,DEHB013
53.592301,10.053859,51,1,0,DEHH068
53.50793,9.990569,52,0,0,DEHH059
53.523262,10.021227,52,0,0,DEHH015
53.56414,9.967882,52,0,0,DEHH008
53.564399,9.94458,52,0,0,DEHH064
52.93189,12.809481,52,0,0,DEBB048
53.396348,12.463929,50,0,0,DEMV024
53.064262,14.285139,52,0,0,DEBB029
53.520456,14.257407,51,0,0,DEMV012
52.9822,-122.4922,37,15,0,Quesnel Senior Secon
53.1325,-117.09111,37,13,0,Steeper
53.37,-115.1906,28,24,0,Tomahawk
53.5028,-113.6111,38,14,0,Edmonton South
53.5472,-113.3681,33,19,0,Edmonton East
53.564411,-113.562583,34,18,0,Edmonton Woodcroft
53.353889,-6.278056,51,1,0,IE0028A
53.34633,-2.844333,43,9,0,Liverpool Speke
53.54914,-2.638139,43,9,0,Wigan Centre
53.48152,-2.237881,45,7,0,Manchester Piccadilly
53.48481,-2.334139,46,6,0,Salford Eccles
53.38928,-2.615358,48,4,0,Warrington
53.02821,-2.175133,48,4,0,Stoke-on-Trent Centre
53.231722,-1.456944,47,5,0,Chesterfield Roadside
52.95473,-1.146447,47,5,0,Nottingham Centre
53.40495,-1.455815,46,6,0,Sheffield Barnsley Road
53.378622,-1.478096,47,4,0,Sheffield Devonshire Green
52.614193,1.301976,39,13,0,Norwich Lakenfields
52.3813,4.84523,52,0,0,Amsterdam-Einsteinweg
52.3597,4.86621,52,0,0,Amsterdam-Vondelpark
52.394,4.87016,52,0,0,Amsterdam-Westerpark
52.463,4.60184,52,0,0,IJmuiden-Kanaaldijk
52.494,4.60199,52,0,0,Wijk aan Zee-Burgemeester Rothestraat
52.334,4.77401,52,0,0,Badhoevedorp-Sloterweg
52.4893,4.64053,52,0,0,Beverwijk West-Creutzberglaan
52.4744,4.6288,52,0,0,Velsen-Staalstraat
52.4789,4.57934,52,0,0,Velsen-Reijndersweg
52.448,4.81671,52,0,0,Zaandam-Wagenschotpad
52.3984,4.72858,52,0,0,Amsterdam-Spaarnwoude
52.428,4.77348,52,0,0,Amsterdam-Hoogtij
52.2966,4.51082,43,9,0,De Zilk-Vogelaarsdreef
52.39,4.88781,52,0,0,Amsterdam-Van Diemenstraat
52.358,4.8997,52,0,0,Amsterdam-Stadhouderskade
52.2345,6.91949,50,2,0,Enschede-Winkelhorst
52.49855,7.31747,50,2,0,DENI043
52.25534,8.05286,51,1,0,DENI038
52.2703,8.04147,50,1,0,DENI067
52.17017,9.06255,51,1,0,DENI041
52.36292,9.70612,49,0,0,DENI054
52.359478,9.7155,49,0,0,DENI048
52.800773,10.756733,44,0,0,DEUB005
52.15369,10.45591,52,0,0,DENI070
52.131742,11.631919,9,0,0,DEST112
52.393932,13.037474,52,0,0,DEBB054
52.194225,12.561389,52,0,0,DEBB065
52.484168,13.123698,52,0,0,DEBB075
52.832467,13.822211,52,0,0,DEBB060
52.481882,13.84825,1,0,0,DEBB099
52.677651,13.582269,52,0,0,DEBB068
52.349703,13.424304,52,0,0,DEBB086
52.563835,14.015252,52,0,0,DEBB053
52.33468,14.52596,52,0,0,DEBB092
52.146264,14.638166,52,0,0,DEBB032
52.1361,-106.6631,46,6,0,Saskatoon
