lat,lon,count_A,count_B,count_C,location
60.37408,5.34042,10,42,0,Danmarks plass
59.92556,10.850367,25,25,0,E6 Alna senter
59.928612,10.953203,13,39,0,Solheim
60.3135960714999,24.6894769317978,10,42,0,FI00208
59.2024,9.48708,42,10,0,Haukenes
59.210191,10.940097,26,12,0,Nygaardsgata
55.85917,-4.258889,48,4,0,Glasgow Kerbside
55.31531,-3.206111,4,48,0,Eskdalemuir
53.928028,9.511769,5,47,0,DESH025
54.304242,10.122364,18,34,0,DESH052
54.092278,12.141994,15,36,0,DEMV020
52.8757,6.93243,2,50,0,Valthermond-Noorderdiep
53.585262,8.59876,10,42,0,DEHB011
52.9822,-122.4922,2,50,0,Quesnel Senior Secon
52.980436,-2.111898,52,0,0,Stoke-on-Trent A50 Roadside
53.41058,-1.396139,2,50,0,Sheffield Tinsley
52.3984,4.72858,21,31,0,Amsterdam-Spaarnwoude
52.428,4.77348,21,31,0,Amsterdam-Hoogtij
52.4202,4.83206,22,30,0,Zaanstad-Hemkade
52.3705,4.64232,9,43,0,Haarlem-Schipholweg
52.2703,8.04147,13,39,0,DENI067
52.26673,10.54055,3,49,0,DENI075
52.393932,13.037474,6,46,0,DEBB054
52.438115,13.38772,24,28,0,DEBE069
52.463611,13.31825,13,38,0,DEBE061
52.481709,13.433967,34,18,0,DEBE064
52.337336,14.538595,11,41,0,DEBB045
52.50385,-3.034178,20,27,0,Aston Hill
52.502436,-2.003497,15,37,0,Oldbury Birmingham Road
51.4687,5.47235,2,50,0,Eindhoven-Genovevalaan
52.1013,5.12818,38,14,0,Utrecht-Griftpark
51.5302,9.92833,29,23,0,DENI068
52.12076,11.632669,5,47,0,DEST103
51.494756,11.981314,19,33,0,DEST102
51.680579,-3.133508,52,0,0,Hafod-yr-ynys Roadside
51.2945,3.74948,22,30,0,Philippine-Stelleweg
51.0612776980517,3.77526238964536,2,46,0,BETR710
50.9631,5.8107,48,0,0,Geleen-Vouershof
50.9844,5.82223,52,0,0,Geleen-Asterstraat
50.8459,5.71475,52,0,0,Maastricht-A2 Nassaulaan
51.1192,6.0424,6,46,0,Posterholt-Vlodropperweg
50.6288602602161,6.00232868693696,2,46,0,BETN066
51.033834,6.451483,1,51,0,DENW329
51.335872,12.334686,12,40,0,DESN077
51.344164,12.377163,2,49,0,DESN025
51.06493,13.741397,4,48,0,DESN061
51.149617,-1.438228,5,47,0,Chilbolton Observatory
49.9180174823908,1.07397185477625,48,4,0,FR25051
49.9025136027366,2.30460091195011,2,49,0,FR18053
50.6167184021922,3.45762442718173,2,46,0,BETN060
50.4564875668497,3.42794417474157,6,46,0,FR06134
49.9077785386149,4.62999782272758,32,19,0,FR14008
50.359605,7.592515,6,46,0,DERP045
50.3544,7.596583,4,48,0,DERP024
49.991518,9.117973,29,23,0,DEBY005
49.943637,11.570088,4,48,0,DEBY111
50.0723876953125,14.4306726455688,49,3,0,CZ0ALEG
50.0622978210449,14.5378198623657,24,28,0,CZ0APRU
49.1677902851312,5.38745727029717,32,20,0,FR01065
49.1250708052828,6.18121763849802,32,20,0,FR01064
49.446,7.7673,1,51,0,DERP019
49.842136,7.866208,1,51,0,DERP022
49.49256,8.47204,4,48,0,DEBW098
49.165508,9.224786,1,51,0,DEBW015
49.4112319946289,14.6763887405395,5,46,0,CZ0CTAB
49.1980895996094,16.5936431884766,50,2,0,CZ0BBNV
49.8398475646973,18.2899761199951,42,10,0,CZ0TOCB
49.49038888888889,105.90650000000001,1,48,0,Дархан
48.6409127739739,2.26872219950238,48,4,0,FR04180
48.8527914734017,2.36055697099791,16,36,0,FR04141
48.9252654190423,2.35666726581768,51,1,0,FR04058
48.8386033565984,2.41278502161662,39,13,0,FR04329
48.8702846148731,2.33250258467486,41,10,0,FR04118
48.5492988706458,5.46068793225859,2,16,0,FR30038
48.5904327918195,7.7449869187876,51,1,0,FR16034
49.07655,8.40666,2,50,0,DEBW004
48.7881,9.19101,22,29,0,DEBW118
48.889039,8.665536,1,51,0,DEBW033
48.48933,9.21079,5,47,0,DEBW147
49.0679512023926,17.4668483734131,4,48,0,CZ0ZUHR
48.7350006094679,19.15499878,47,5,0,SK0214A
48.6311111494676,20.24028397,1,51,0,SK0025A
48.9933319094685,21.26749992,50,2,0,SK0266A
48.2949796949513,4.05027903727389,2,50,0,FR14033
47.9882,7.85992,6,46,0,DEBW122
47.819019,7.567969,1,51,0,DEBW073
48.370237,10.896221,2,50,0,DEBY110
48.149606,11.536513,49,3,0,DEBY115
48.1584279994666,17.128678,39,13,0,SK0002A
47.9599999994661,17.860564,4,48,0,SK0007R
47.7317,128.9094,3,49,0,林管局
48.1075139513805,-1.67916686168757,45,7,0,FR19007
47.3946463856954,0.704872969152508,51,1,0,FR34028
