lat,lon,count_A,count_B,count_C,location
66.312191,14.149923,28,8,0,Moheia Vest
65.0099699995891,25.47132,46,6,0,FI00446
64.8458,-147.72727,23,4,0,NCore
64.762973,-147.310297,37,9,0,North Pole Fire Stat
61.205861,-149.8246,28,24,0,Garden
61.3267,-149.569707,10,20,0,Parkgate (Eagle Rive
61.534163,-149.031655,29,23,0,Butte (Harrison Cour
61.5989,-149.106216,17,13,0,Palmer
61.11288,10.46497,37,15,0,Bankplassen
60.79646,11.09777,43,9,0,Vangsveien, Hamar
60.88364255,11.55930063,44,8,0,Leiret
60.88593,10.93785,42,10,0,Ringsakervegen
60.79583,-161.767,23,4,0,Bethel
59.914106,10.82263,38,13,0,Bryn skole
60.170873,10.261552,20,4,0,Hønefoss skole
59.9181,10.5839,37,15,0,Bekkestua
59.92556,10.850367,36,16,0,E6 Alna senter
59.92773,10.84633,28,14,0,Alnabru
59.92295,10.76573,36,16,0,Sofienbergparken
59.90608,10.61195,39,13,0,Eilif Dues vei
59.93233,10.72447,32,16,0,Kirkeveien
59.91898,10.69707,35,14,0,Bygdøy Alle
59.91132,10.70407,31,21,0,Hjortnes
59.928612,10.953203,40,12,0,Solheim
59.057304,9.695568,33,19,0,Furulund
59.15927,9.63565,30,22,0,Lensmannsdalen
59.13354,9.6219,27,22,0,Knarrdalstranda
59.433471,10.66176236,34,18,0,Kransen
59.210191,10.940097,34,18,0,Nygaardsgata
59.123314,11.391136,20,6,0,Vaterland
59.27377544,11.08919017,40,11,0,Alvim
59.2103,10.9454,39,8,0,St.Croix
58.388889,-134.565556,46,6,0,Floyd Dryden
58.7083,-111.1764,37,15,0,Fort Chipewyan
56.7328,-111.39,41,11,0,Athabasca Valley
56.7522,-111.4761,42,10,0,Patricia McInnes
57.1889,-111.6406,35,17,0,Fort McKay
56.3194399995049,22.87084,52,0,0,LT00021
55.944079,-4.734421,41,11,0,Greenock A8 Roadside
56.010319,-3.704399,44,8,0,Grangemouth
55.945589,-3.182186,45,7,0,Edinburgh St Leonards
55.6899999995005,21.17946,51,1,0,LT00033
55.4633331294989,26.00416946,51,0,0,LT00051
55.1964,-119.3967,38,14,0,Beaverlodge
