lat,lon,count_A,count_B,count_C,location
63.43293,10.41067,20,29,0,Bakke kirke
61.534163,-149.031655,5,25,0,Butte (Harrison Cour
60.462665,5.332447,34,18,0,Rolland, Åsane
60.170873,10.261552,10,14,0,Hønefoss skole
59.94103,10.79803,27,25,0,Rv 4, Aker sykehus
60.2514499995379,24.06287,9,43,0,FI00761
58.951877,5.721875,20,31,0,Schancheholen
57.1889,-111.6406,27,25,0,Fort McKay
54.78143,9.43809,4,48,0,DESH022
54.88361,-1.406878,4,48,0,Sunderland Silksworth
53.78175,12.175512,1,50,0,DEMV019
54.0403,-128.3825,5,47,0,KITIMAT WHITESAIL
53.59617,8.09059,7,45,0,DENI031
53.1177,8.69506,4,48,0,DEHB013
53.396348,12.463929,4,46,0,DEMV024
53.564411,-113.562583,12,40,0,Edmonton Woodcroft
53.37287,-3.022722,3,49,0,Wirral Tranmere
53.244131,-1.454946,5,45,0,Chesterfield Loundsley Green
52.393932,13.037474,1,51,0,DEBB054
52.47609,-1.875024,3,49,0,Birmingham A4540 Roadside
51.8674,4.35524,49,3,0,Hoogvliet-Leemkuil
51.744806,-1.260278,2,48,0,Oxford St Ebbes
50.6280389569951,3.09031237520525,34,18,0,FR11025
50.9844,5.82223,1,51,0,Geleen-Asterstraat
50.8459,5.71475,1,51,0,Maastricht-A2 Nassaulaan
50.8521,5.6758,1,51,0,Maastricht-Hoge Fronten
50.8598,5.71381,1,51,0,Maastricht-A2 Kasteel Hillenraadweg
50.972331,11.010446,2,50,0,DETH081
50.6831245422363,13.9978733062744,2,50,0,CZ0UULD
51.047611,-114.075165,23,29,0,Calgary Central2
50.3642606948305,3.52273440352186,36,16,0,FR06006
50.4243,7.7299,7,45,0,DERP028
49.9579277038574,14.0583000183105,5,46,0,CZ0SBER
49.9246788024902,18.422872543335,30,22,0,CZ0TVER
50.2391,127.5044,11,41,0,党校
50.1439,-122.9611,20,32,0,Whistler Meadow Park
50.2333,-119.2833,15,37,0,Vernon Science Centr
49.1677902851312,5.38745727029717,24,27,0,FR01065
49.1874042196733,6.91086524487126,19,33,0,FR22054
49.643238,8.642,2,50,0,DEHE063
49.7220001220703,13.618537902832,1,51,0,CZ0PKUJ
49.5733947753906,15.0802783966064,22,30,0,CZ0JKOS
49.7589950561523,16.6667213439941,21,31,0,CZ0EMTP
49.8398475646973,18.2899761199951,14,38,0,CZ0TOCB
49.6681137084961,18.6777992248535,4,48,0,CZ0TTRO
49.260799,-124.805603,13,39,0,Port Alberni Element
48.6458392908865,4.96611146943374,4,46,0,FR14042
48.6311111494676,20.24028397,7,45,0,SK0025A
48.9349999994684,22.27361,50,2,0,SK0406A
48.4658,129.4942,31,21,0,汤旺河国家公园
48.9477,-122.1471,28,24,0,Maple Falls-Azure Wa
48.54469,-117.903222,25,13,0,Colville-E 1st St
48.3841,-115.548,9,25,18,Libby Courthouse
47.9979271894844,2.71951477537923,2,50,0,FR34018
