lat,lon,count_A,count_B,count_C,location
56.5231749995064,21.004694,26,25,1,LV0012A
55.9378356895022,23.30802727,4,48,0,LT00022
55.2799999994977,23.95778,12,40,0,LT00043
53.7153,7.21398,7,37,6,DENI058
53.78175,12.175512,1,50,0,DEMV019
53.1177,8.69506,4,48,0,DEHB013
53.077151,8.81578,3,49,0,DEHB001
53.064262,14.285139,8,42,0,DEBB029
53.5028,-113.6111,15,37,0,Edmonton South
53.40337,-1.752006,16,33,0,Ladybower
52.49855,7.31747,1,50,0,DENI043
51.55107,9.94976,3,47,0,DENI042
51.75816,10.61248,2,50,0,DENI051
51.651166,12.302866,6,46,0,DEST015
50.9959079994751,2.365994,2,45,4,FR10029
51.2945,3.74948,49,1,2,Philippine-Stelleweg
51.2501064987036,4.34210451132214,3,45,0,BETR897
50.825128,4.384719,7,41,0,BETR002
50.6966705322266,13.8476915359497,20,32,0,CZ0UKRU
50.1728248596191,12.6728181838989,2,50,0,CZ0KSOM
50.4275894165039,13.1301431655884,5,47,0,CZ0UMED
50.3019828796387,15.1783027648926,1,41,0,CZ0SROR
50.0421981811523,15.7394142150879,5,47,0,CZ0EPAO
50.2391,127.5044,11,41,0,党校
49.4876841957776,0.451755569861434,3,49,0,FR05069
49.224144731874,4.02055378452238,17,34,0,FR14012
49.719281,5.630398,7,41,0,BETN132
49.254344,6.867744,6,46,0,DESL017
49.357861,6.73354,10,42,0,DESL003
48.7757726857746,2.37580138136942,8,44,0,FR04034
48.9193627535547,8.15845449460929,33,4,0,FR16017
48.847917,10.096292,26,26,0,DEBW029
48.9843864440918,14.4656839370728,1,51,0,CZ0CCBD
48.8963890094683,18.04139328,17,35,0,SK0047A
48.7262669994678,21.258836,37,15,0,SK0267A
49.01938888888889,104.04527777777777,5,33,5,Эрдэнэт1
48.4658,129.4942,18,34,0,汤旺河国家公园
48.3547092558406,2.64529596660528,17,35,0,FR04328
48.3016728842391,4.07694103490656,28,10,0,FR14031
47.8021950433058,7.12284070246494,23,29,0,FR16067
48.0746323989232,7.35067142482333,3,34,0,FR16054
48.1250189994665,17.125611,7,44,0,SK0001A
47.91786111111111,106.84806111111111,21,23,5,УБ-3
47.3227,123.9483,17,35,0,农牧车辆厂
47.3349,130.2659,34,18,0,哈啤分公司
47.2730669094477,-2.22305185045774,8,44,0,FR23181
46.2666139994637,20.153053,37,14,0,HU0057A
46.5776,125.1386,21,31,0,萨尔图区
45.8758101772,0.823888964514935,10,42,0,FR35019
45.55879166613,18.6987694444444,14,37,0,HR0003A
45.6886,85.1186,11,41,0,白碱滩区
45.6175,122.8211,8,44,0,市环保局
45.7258,126.646,14,38,0,动力和平路
45.6842,126.6206,15,37,0,省农科院
45.8309,130.9467,37,15,0,葫头沟
